Date,Region,Brand,Model,Vehicle_Type,Battery_Capacity_kWh,Discount_Percentage,Customer_Segment,Fast_Charging_Option,Units_Sold,Revenue
2023-10,Africa,Hyundai,iX,Hatchback,100,14,High Income,Yes,144,4389120
2023-11,Oceania,Nissan,Atto 3,Hatchback,81,13,Eco-Conscious,Yes,199,4364652
2023-11,North America,Hyundai,Model 3,Truck,100,3,Budget Conscious,Yes,308,8211600
2023-07,North America,Nissan,Corolla EV,Sedan,71,7,Tech Enthusiast,Yes,299,6321592
2023-08,Oceania,Kia,Ariya,Hatchback,83,5,High Income,No,281,7149675
2023-07,Europe,BYD,Rio EV,Hatchback,50,7,High Income,No,88,1706432
2023-07,North America,Ford,Tucson EV,Hatchback,43,19,Tech Enthusiast,Yes,65,1161100
2023-07,Africa,Kia,i4,Hatchback,72,14,Tech Enthusiast,Yes,145,3105020
2023-04,Africa,Kia,Leaf,Truck,82,5,Tech Enthusiast,Yes,156,3697200
2023-09,North America,Ford,Rio EV,Truck,71,16,Budget Conscious,No,167,3678386
2023-07,Oceania,Tesla,Model 3,SUV,75,13,Middle Income,Yes,378,9199350
2023-02,Africa,Toyota,Elantra EV,Sedan,100,13,Budget Conscious,Yes,92,1607040
2023-03,Africa,Ford,Leaf,Hatchback,97,14,High Income,Yes,192,5931264
2023-02,South America,Nissan,ID.4,Hatchback,97,0,Budget Conscious,Yes,360,10074240
2023-03,Africa,Hyundai,ID.3,Sedan,48,1,Middle Income,Yes,297,5492448
2023-11,North America,BYD,Model 3,Truck,42,2,Middle Income,Yes,192,4294080
2023-07,Oceania,Hyundai,Han EV,Coupe,94,6,Eco-Conscious,Yes,310,8782800
2023-12,Africa,Nissan,Han EV,Crossover,96,20,Tech Enthusiast,Yes,57,1098240
2023-10,North America,Hyundai,i4,Hatchback,44,1,Middle Income,Yes,213,3792648
2023-07,Asia,Volkswagen,Elantra EV,Truck,45,3,Budget Conscious,No,67,1616214
2023-04,Oceania,Ford,Corolla EV,Hatchback,53,1,Tech Enthusiast,No,326,5567304
2023-05,Oceania,Toyota,ID.5,Sedan,54,18,Eco-Conscious,Yes,378,6174712
2023-07,Asia,Tesla,ID.3,Truck,93,15,Budget Conscious,Yes,297,6297630
2023-02,Africa,Toyota,Corolla EV,Hatchback,98,16,Eco-Conscious,No,376,10767808
2023-02,Oceania,Nissan,Rio EV,Crossover,76,16,Budget Conscious,Yes,210,4613520
2023-06,Africa,BMW,Model S,Hatchback,68,15,High Income,Yes,299,6983646
2023-01,Europe,Kia,ID.5,Truck,88,10,Budget Conscious,Yes,88,1788160
2023-03,Europe,Toyota,Model S,Hatchback,74,1,High Income,No,66,1276248
2023-08,North America,Tesla,Atto 3,SUV,47,7,High Income,No,342,5791464
2023-07,North America,Hyundai,i4,Hatchback,76,2,Budget Conscious,No,275,5850700
2023-05,North America,Volkswagen,ID.4,SUV,85,11,Middle Income,No,135,2929275
2023-09,Europe,BYD,Rio EV,Hatchback,61,13,Tech Enthusiast,Yes,280,5129832
2023-06,North America,Ford,i4,Hatchback,66,3,Budget Conscious,No,99,1914096
2023-10,Oceania,BYD,Ariya,Crossover,96,4,Eco-Conscious,Yes,347,10143648
2023-06,Asia,Tesla,Elantra EV,Sedan,76,17,Eco-Conscious,No,263,4769062
2023-06,North America,Nissan,Elantra EV,Crossover,65,2,Tech Enthusiast,No,160,3510400
2023-03,Africa,Kia,Atto 3,Hatchback,85,11,Tech Enthusiast,Yes,354,6983652
2023-08,Oceania,BYD,Mach-E,Coupe,75,10,Budget Conscious,Yes,105,2180250
2023-05,Africa,Hyundai,Corolla EV,Coupe,46,3,Middle Income,Yes,377,7271906
2023-08,Europe,Kia,Han EV,Coupe,92,7,Budget Conscious,No,138,4083696
2023-06,Africa,Volkswagen,Elantra EV,Hatchback,55,11,Eco-Conscious,Yes,364,8301560
2023-04,Asia,Ford,Elantra EV,Truck,81,10,Eco-Conscious,Yes,295,5858100
2023-01,Africa,Toyota,Model 3,Crossover,97,9,High Income,No,342,9483432
2023-09,Oceania,BMW,ID.4,Hatchback,100,11,Middle Income,Yes,351,11139741
2023-09,Africa,Hyundai,Tucson EV,Hatchback,75,7,Tech Enthusiast,Yes,326,6803640
2023-12,Oceania,Ford,Atto 3,Coupe,66,19,High Income,Yes,147,2942820
2023-10,North America,BYD,Tucson EV,Truck,43,20,High Income,Yes,164,2776880
2023-07,North America,Nissan,Rio EV,Hatchback,81,3,Budget Conscious,No,291,5662692
2023-05,Oceania,BMW,Han EV,Hatchback,45,9,Tech Enthusiast,Yes,150,2693250
2023-01,South America,Ford,Leaf,Hatchback,64,11,Tech Enthusiast,No,142,2945832
2023-02,North America,BYD,Model S,Hatchback,83,19,Middle Income,No,397,7810717
2023-10,Europe,Toyota,Han EV,Crossover,99,9,Tech Enthusiast,Yes,174,5208716
2023-02,Africa,Ford,Rio EV,Hatchback,41,1,Tech Enthusiast,Yes,80,1227920
2023-08,Asia,Nissan,Corolla EV,SUV,56,2,Middle Income,No,251,5364512
2023-11,Oceania,Toyota,Han EV,Hatchback,78,9,Tech Enthusiast,Yes,277,6250896
2023-08,Africa,Ford,Elantra EV,Coupe,40,1,Eco-Conscious,No,226,3408200
2023-09,North America,Nissan,i4,Truck,97,17,Budget Conscious,Yes,110,2315140
2023-12,Asia,Hyundai,Rio EV,Coupe,50,15,High Income,Yes,280,4212000
2023-10,North America,Toyota,Atto 3,SUV,83,7,Eco-Conscious,Yes,310,7623340
2023-03,Asia,BYD,ID.4,SUV,68,12,Budget Conscious,Yes,227,4695952
2023-01,North America,Hyundai,ID.5,Coupe,82,0,Budget Conscious,No,237,5523198
2023-09,North America,Hyundai,Rio EV,Coupe,72,4,Eco-Conscious,Yes,181,3691896
2023-11,Oceania,Kia,ID.3,SUV,48,14,Budget Conscious,Yes,99,1619832
2023-09,Africa,Hyundai,Atto 3,Sedan,94,15,Tech Enthusiast,No,336,8484996
2023-09,Europe,Ford,Atto 3,Coupe,66,13,Budget Conscious,Yes,271,5818292
2023-09,Oceania,Hyundai,Model Y,SUV,67,15,High Income,Yes,67,1623726
2023-11,Africa,Hyundai,Tucson EV,Truck,97,15,Tech Enthusiast,No,380,11020920
2023-06,South America,Kia,Atto 3,Hatchback,44,6,Budget Conscious,Yes,253,4995708
2023-12,Oceania,BYD,Rio EV,Truck,79,20,Budget Conscious,Yes,342,6315840
2023-01,South America,Nissan,Mach-E,Coupe,100,14,High Income,Yes,91,2615900
2023-06,North America,Hyundai,Model 3,Sedan,78,1,High Income,No,153,3242202
2023-07,Africa,Toyota,Mach-E,SUV,98,9,Eco-Conscious,Yes,290,8132600
2023-06,Africa,BMW,Rio EV,Truck,73,3,Middle Income,No,205,4512952
2023-11,North America,Nissan,Tucson EV,Hatchback,67,5,Tech Enthusiast,Yes,105,2001240
2023-10,Africa,BMW,i4,Hatchback,42,10,Budget Conscious,Yes,380,5435640
2023-02,North America,Ford,Atto 3,Coupe,67,1,Budget Conscious,Yes,172,3426432
2023-07,North America,Nissan,Atto 3,Crossover,92,5,Tech Enthusiast,No,356,9994920
2023-04,North America,Toyota,Leaf,Hatchback,74,20,Eco-Conscious,Yes,293,3572124
2023-10,Oceania,Nissan,ID.4,Hatchback,59,2,Middle Income,Yes,297,6541824
2023-02,Africa,BMW,Han EV,Hatchback,57,3,Middle Income,No,56,958752
2023-05,Africa,Kia,Rio EV,Hatchback,51,1,Budget Conscious,Yes,169,2682359
2023-08,Europe,Volkswagen,Rio EV,Hatchback,60,7,High Income,No,81,1707936
2023-04,North America,Volkswagen,i4,Hatchback,68,17,Middle Income,No,327,6392094
2023-10,North America,Hyundai,Model 3,Hatchback,50,2,Budget Conscious,No,353,6067460
2023-06,North America,Nissan,Atto 3,Hatchback,45,7,High Income,Yes,89,1603773
2023-06,Oceania,Tesla,iX,SUV,66,7,Budget Conscious,No,166,2752266
2023-05,South America,Hyundai,Leaf,Hatchback,84,2,Eco-Conscious,Yes,224,5042688
2023-01,Europe,Hyundai,Model 3,Hatchback,61,2,Eco-Conscious,Yes,355,6138980
2023-06,Africa,Toyota,Atto 3,Truck,69,5,Eco-Conscious,No,82,1843740
2023-07,North America,Ford,Ariya,Hatchback,64,4,High Income,Yes,183,3996864
2023-01,North America,Hyundai,i4,Coupe,90,1,Eco-Conscious,Yes,314,8276580
2023-06,Africa,Ford,Corolla EV,Hatchback,100,15,High Income,Yes,93,2408400
2023-05,Africa,Volkswagen,Leaf,Truck,65,14,Budget Conscious,Yes,273,5419638
2023-05,South America,Kia,Tucson EV,Hatchback,74,18,Eco-Conscious,Yes,275,4385700
2023-05,Asia,Nissan,Leaf,Sedan,99,15,Budget Conscious,Yes,130,4078700
2023-08,Oceania,Volkswagen,Leaf,Hatchback,83,19,Eco-Conscious,Yes,355,7344920
2023-12,Africa,Ford,Atto 3,SUV,80,11,High Income,Yes,216,4389120
2023-07,South America,Hyundai,Model Y,Crossover,62,8,Middle Income,No,310,6716600
2023-07,North America,BYD,Model 3,Truck,51,11,Eco-Conscious,Yes,215,3508936
2023-11,South America,Tesla,i4,SUV,82,8,High Income,Yes,361,7281408
2023-03,North America,Hyundai,Mach-E,SUV,90,8,Budget Conscious,Yes,242,6819120
2023-02,Africa,Hyundai,Model 3,SUV,62,4,Budget Conscious,No,226,4393720
2023-03,Africa,Kia,Tucson EV,SUV,69,19,High Income,Yes,131,3445022
2023-12,Oceania,Kia,ID.4,Hatchback,63,13,High Income,Yes,392,7698528
2023-05,North America,Hyundai,iX,Hatchback,48,3,Eco-Conscious,Yes,82,1598496
2023-05,Africa,Nissan,Ariya,SUV,45,17,Tech Enthusiast,No,201,3200865
2023-07,North America,Nissan,Tucson EV,Hatchback,47,5,High Income,Yes,78,1612920
2023-06,North America,BMW,ID.3,Truck,72,3,Middle Income,Yes,234,5597424
2023-12,Africa,BMW,i4,Coupe,94,4,High Income,Yes,246,6692592
2023-05,Asia,BMW,Corolla EV,Coupe,66,7,High Income,Yes,309,6391860
2023-06,North America,Kia,Model Y,Hatchback,87,10,Eco-Conscious,No,275,7637250
2023-11,North America,Kia,Ariya,Hatchback,100,5,Budget Conscious,No,256,7449600
2023-07,Oceania,Tesla,Han EV,Hatchback,78,0,Budget Conscious,Yes,279,6404046
2023-01,Europe,Kia,Elantra EV,Sedan,84,6,High Income,No,252,5293152
2023-04,Oceania,Nissan,Elantra EV,Crossover,66,4,Budget Conscious,Yes,66,1294272
2023-06,Asia,Ford,i4,SUV,68,12,Budget Conscious,No,148,2928768
2023-07,North America,BMW,Elantra EV,Hatchback,90,9,Budget Conscious,Yes,63,1326420
2023-06,North America,Nissan,Atto 3,Truck,74,11,Tech Enthusiast,No,99,1613034
2023-06,Europe,Toyota,Elantra EV,Truck,100,3,Budget Conscious,Yes,156,4412400
2023-02,Africa,Kia,Rio EV,Hatchback,52,13,High Income,Yes,296,5762080
2023-01,Oceania,BMW,ID.3,Hatchback,40,3,Budget Conscious,Yes,216,4122656
2023-08,Oceania,BMW,ID.4,Hatchback,48,15,Eco-Conscious,Yes,269,4331520
2023-12,North America,Kia,Tucson EV,Truck,63,8,Tech Enthusiast,No,361,7270008
2023-07,Africa,Hyundai,Han EV,Hatchback,59,15,High Income,No,351,6156180
2023-05,Oceania,Kia,Atto 3,Sedan,98,7,Budget Conscious,Yes,190,5361320
2023-07,Oceania,Ford,Mach-E,SUV,84,7,High Income,Yes,289,7026184
2023-09,North America,BYD,Leaf,Hatchback,100,12,Eco-Conscious,Yes,113,2488648
2023-01,Asia,Ford,Atto 3,Crossover,67,3,Budget Conscious,No,163,3270841
2023-10,South America,BMW,Atto 3,Sedan,59,20,Tech Enthusiast,Yes,66,817032
2023-06,Oceania,Hyundai,Ariya,Hatchback,97,17,Middle Income,No,355,9535640
2023-04,Asia,Kia,Leaf,Hatchback,51,6,Budget Conscious,No,216,4157820
2023-09,Africa,BYD,iX,Crossover,80,3,High Income,Yes,274,7082520
2023-02,North America,Nissan,Rio EV,Truck,94,1,High Income,Yes,145,4067860
2023-06,Africa,Toyota,Model 3,Truck,87,5,Tech Enthusiast,No,136,3745440
2023-02,Oceania,Volkswagen,Tucson EV,Hatchback,53,8,Tech Enthusiast,Yes,159,3140580
2023-09,Africa,BMW,Atto 3,Hatchback,78,17,High Income,No,187,5290872
2023-08,Oceania,Nissan,ID.3,Coupe,49,19,High Income,No,132,2942424
2023-10,Europe,Nissan,Elantra EV,Truck,58,0,Budget Conscious,Yes,199,3665902
2023-05,North America,Toyota,iX,Truck,51,14,Tech Enthusiast,No,160,2874496
2023-02,Africa,Hyundai,Elantra EV,Truck,88,13,Eco-Conscious,No,246,5994864
2023-02,Oceania,BMW,Han EV,Truck,47,11,High Income,Yes,243,3982140
2023-11,Asia,Toyota,Ariya,Hatchback,76,10,Eco-Conscious,Yes,112,2583552
2023-05,Oceania,Ford,Model 3,Crossover,99,8,Eco-Conscious,Yes,186,5570268
2023-05,Oceania,BYD,Han EV,Truck,94,7,Eco-Conscious,Yes,222,6596532
2023-04,South America,BYD,Atto 3,Crossover,56,8,Tech Enthusiast,Yes,385,7933920
2023-08,Oceania,Volkswagen,ID.5,Hatchback,67,14,Tech Enthusiast,No,316,6198516
2023-07,North America,Hyundai,Model S,Coupe,56,20,Budget Conscious,Yes,281,3482248
2023-08,Asia,Nissan,ID.5,Coupe,58,6,High Income,No,224,4011264
2023-11,Africa,Kia,Tucson EV,Coupe,78,0,Budget Conscious,Yes,240,4963680
2023-02,North America,Hyundai,Atto 3,Hatchback,52,11,Middle Income,No,155,2652300
2023-02,Oceania,Toyota,Corolla EV,Coupe,50,7,Budget Conscious,Yes,126,2275560
2023-11,Oceania,Nissan,Rio EV,Coupe,97,13,Eco-Conscious,Yes,133,3634362
2023-09,North America,Kia,ID.4,Hatchback,83,6,Budget Conscious,Yes,116,2515440
2023-05,Oceania,BMW,Model 3,Hatchback,72,18,High Income,Yes,253,5261952
2023-08,Oceania,Ford,Atto 3,Truck,84,9,Middle Income,Yes,76,2019240
2023-09,North America,BYD,Rio EV,Truck,72,3,Budget Conscious,Yes,268,6020640
2023-05,North America,BYD,ID.3,Truck,94,2,Eco-Conscious,Yes,319,8527688
2023-05,Asia,Kia,Model Y,Hatchback,70,1,Eco-Conscious,No,147,3526698
2023-10,Oceania,Toyota,Tucson EV,Hatchback,52,3,Eco-Conscious,No,292,5894000
2023-05,Asia,BMW,Mach-E,SUV,88,13,Eco-Conscious,Yes,328,9010240
2023-01,North America,Nissan,Model Y,Sedan,48,14,Middle Income,No,228,3881952
2023-07,Oceania,Volkswagen,ID.3,Hatchback,84,14,High Income,No,65,1787120
2023-08,North America,BMW,Corolla EV,Sedan,49,5,Tech Enthusiast,No,164,3336480
2023-07,Europe,Kia,Rio EV,Coupe,56,20,Middle Income,Yes,319,4661144
2023-01,Oceania,Ford,Han EV,Hatchback,86,9,High Income,Yes,357,10345986
2023-12,North America,Kia,Leaf,Hatchback,96,20,Eco-Conscious,Yes,390,7219200
2023-11,North America,Volkswagen,Mach-E,Hatchback,100,9,Middle Income,Yes,55,1593900
2023-02,North America,BYD,Model 3,Truck,53,10,Budget Conscious,Yes,66,1453590
2023-06,North America,BMW,Model 3,Sedan,47,1,Eco-Conscious,Yes,350,7265250
2023-03,Oceania,BMW,Leaf,Sedan,62,8,Tech Enthusiast,Yes,310,5903440
2023-05,Oceania,Nissan,Model 3,SUV,48,5,Eco-Conscious,No,366,6474960
2023-09,Asia,Tesla,Model Y,SUV,65,7,Tech Enthusiast,Yes,377,9375180
2023-10,Oceania,BYD,Corolla EV,Truck,78,18,High Income,No,236,4415040
2023-07,North America,Ford,Atto 3,Crossover,46,19,Middle Income,Yes,271,5726073
2023-07,Oceania,Ford,Rio EV,Coupe,88,1,Tech Enthusiast,No,185,4501960
2023-02,Africa,Volkswagen,Atto 3,Hatchback,60,4,Eco-Conscious,Yes,97,2010858
2023-09,Oceania,Kia,Corolla EV,Truck,99,4,Budget Conscious,Yes,324,9522224
2023-09,Oceania,Tesla,Leaf,Hatchback,63,3,Eco-Conscious,Yes,85,1651170
2023-03,North America,Nissan,Rio EV,Hatchback,45,3,Eco-Conscious,Yes,130,2552832
2023-02,Asia,Toyota,Model Y,Crossover,91,12,Tech Enthusiast,Yes,104,3073920
2023-12,North America,Toyota,Leaf,Hatchback,42,14,Budget Conscious,No,306,4224824
2023-01,South America,Kia,Elantra EV,Truck,71,16,High Income,Yes,146,3333954
2023-08,Oceania,Nissan,Tucson EV,Coupe,93,1,Middle Income,No,241,6331113
2023-07,Asia,Toyota,Han EV,Sedan,74,7,High Income,Yes,139,3913532
2023-08,Africa,Nissan,ID.4,Truck,43,5,Tech Enthusiast,Yes,203,4362572
2023-02,Africa,Kia,Corolla EV,Truck,49,18,Eco-Conscious,No,264,4749897
2023-12,Africa,Hyundai,Model 3,SUV,86,4,Budget Conscious,Yes,143,3544012
2023-09,Asia,Kia,iX,Truck,89,14,Eco-Conscious,No,351,8586288
2023-06,Africa,Toyota,Model Y,Crossover,57,12,Middle Income,No,345,6533100
2023-11,Oceania,BYD,Atto 3,Truck,100,10,High Income,Yes,143,4092530
2023-01,Oceania,Tesla,Model 3,Sedan,73,18,Middle Income,Yes,367,8129082
2023-05,Oceania,Kia,ID.4,Truck,59,9,Budget Conscious,Yes,112,2411488
2023-08,Asia,Ford,iX,SUV,88,4,Tech Enthusiast,No,316,8278272
2023-08,Africa,Ford,Rio EV,Coupe,40,12,Budget Conscious,Yes,116,1780376
2023-08,Oceania,Ford,Model 3,Truck,55,3,Tech Enthusiast,Yes,219,3382665
2023-01,Africa,Nissan,iX,Crossover,55,5,Eco-Conscious,Yes,148,3102900
2023-09,North America,Toyota,Corolla EV,Hatchback,40,14,High Income,Yes,237,4378800
2023-05,North America,Nissan,Leaf,SUV,40,2,Budget Conscious,No,162,2910936
2023-01,Africa,Kia,Han EV,Truck,59,11,Budget Conscious,No,153,2914152
2023-03,Asia,Hyundai,i4,Truck,43,1,Middle Income,No,142,2985338
2023-02,Oceania,BMW,Elantra EV,Crossover,74,12,Tech Enthusiast,Yes,259,4863176
2023-03,North America,Kia,ID.4,Crossover,61,3,Eco-Conscious,Yes,190,3224880
2023-01,Africa,Volkswagen,Atto 3,Sedan,85,4,High Income,Yes,89,2139212
2023-02,Oceania,Volkswagen,Atto 3,Sedan,87,6,Eco-Conscious,No,309,8594106
2023-10,North America,Kia,Leaf,SUV,82,8,Budget Conscious,Yes,315,6423840
2023-08,Africa,BMW,Corolla EV,Truck,95,5,High Income,No,157,4717815
2023-07,North America,BMW,iX,Coupe,54,3,Tech Enthusiast,No,327,5887092
2023-09,Africa,Toyota,iX,Truck,46,8,High Income,Yes,354,7771920
2023-09,North America,BMW,i4,SUV,72,16,High Income,No,124,2482904
2023-04,North America,Volkswagen,Leaf,Hatchback,53,5,Eco-Conscious,Yes,345,7217700
2023-04,North America,Tesla,Leaf,SUV,82,3,Budget Conscious,No,360,10264320
2023-01,Asia,Kia,ID.5,Sedan,56,11,High Income,Yes,142,2654812
2023-08,Oceania,Tesla,Elantra EV,Truck,67,5,Budget Conscious,Yes,318,5958800
2023-05,North America,Hyundai,Han EV,Truck,91,2,High Income,Yes,161,4221218
2023-09,North America,Kia,Corolla EV,Coupe,83,18,High Income,No,103,2473206
2023-08,Oceania,Nissan,Ariya,Hatchback,81,14,High Income,Yes,109,2427852
2023-11,Asia,Hyundai,Ariya,Truck,48,3,High Income,No,362,7368396
2023-04,North America,BYD,Han EV,Hatchback,78,8,Budget Conscious,No,238,4893408
2023-05,Asia,Volkswagen,Model S,Crossover,43,5,High Income,No,205,4272600
2023-01,South America,Kia,Tucson EV,Hatchback,61,4,Budget Conscious,Yes,362,6608176
